,tweet_id,retweet_count,favorite_count
1848,672964561327235073,581,1297
1849,672902681409806336,447,1265
1850,672898206762672129,379,823
1851,672884426393653248,763,1412
1852,672877615439593473,323,941
1853,672834301050937345,521,1197
1854,672828477930868736,441,1139
1855,672640509974827008,286,904
1856,672622327801233409,436,1184
1857,672614745925664768,529,1120
1858,672609152938721280,352,1005
1859,672604026190569472,358,1010
1860,672594978741354496,553,1217
1861,672591762242805761,301,871
1862,672591271085670400,170,663
1863,672538107540070400,327,932
1864,672523490734551040,151,570
1865,672488522314567680,395,1027
1866,672482722825261057,540,1030
1867,672481316919734272,119,666
1868,672475084225949696,636,1330
1869,672466075045466113,474,1244
1870,672272411274932228,3054,5920
1871,672267570918129665,552,1362
1872,672264251789176834,305,1038
1873,672256522047614977,1381,2600
1874,672254177670729728,677,1313
1875,672248013293752320,540,1592
1876,672245253877968896,141,625
1877,672239279297454080,290,828
1878,672231046314901505,916,1674
1879,672222792075620352,188,723
1880,672205392827572224,1039,2068
1881,672169685991993344,332,938
1882,672160042234327040,319,803
1883,672139350159835138,627,1600
1884,672125275208069120,1032,2180
1885,672095186491711488,336,908
1886,672082170312290304,332,867
1887,672068090318987265,464,1176
1888,671896809300709376,3786,7811
1889,671891728106971137,510,1205
1890,671882082306625538,1259,3212
1891,671879137494245376,601,1296
1892,671874878652489728,500,1147
1893,671866342182637568,441,1031
1894,671855973984772097,390,825
1895,671789708968640512,3125,6511
1896,671768281401958400,448,1091
1897,671763349865160704,815,1536
1898,671744970634719232,696,1246
1899,671743150407421952,213,691
1900,671735591348891648,680,1326
1901,671729906628341761,3940,7787
1902,671561002136281088,6550,11736
1903,671550332464455680,190,836
1904,671547767500775424,529,1242
1905,671544874165002241,934,1794
1906,671542985629241344,506,993
1907,671538301157904385,348,854
1908,671536543010570240,367,1075
1909,671533943490011136,522,927
1910,671528761649688577,232,771
1911,671520732782923777,478,1270
1912,671518598289059840,268,861
1913,671511350426865664,630,1462
1914,671504605491109889,3249,6433
1915,671497587707535361,411,849
1916,671488513339211776,433,916
1917,671486386088865792,179,524
1918,671485057807351808,212,702
1919,671390180817915904,674,1317
1920,671362598324076544,269,1019
1921,671357843010908160,141,365
1922,671355857343524864,110,444
1923,671347597085433856,383,872
1924,671186162933985280,188,663
1925,671182547775299584,302,1012
1926,671166507850801152,311,800
1927,671163268581498880,1001,1501
1928,671159727754231808,72,324
1929,671154572044468225,197,648
1930,671151324042559489,137,604
1931,671147085991960577,200,607
1932,671141549288370177,591,1055
1933,671138694582165504,363,842
1934,671134062904504320,171,675
1935,671122204919246848,2274,3182
1936,671115716440031232,702,1250
1937,671109016219725825,394,1050
1938,670995969505435648,260,1004
1939,670842764863651840,7835,22674
1940,670840546554966016,172,535
1941,670838202509447168,619,1015
1942,670833812859932673,113,394
1943,670832455012716544,194,667
1944,670826280409919488,3642,5036
1945,670823764196741120,168,700
1946,670822709593571328,87,555
1947,670815497391357952,1385,2885
1948,670811965569282048,242,1032
1949,670807719151067136,444,1075
1950,670804601705242624,859,1797
1951,670803562457407488,81,312
1952,670797304698376195,211,676
1953,670792680469889025,244,755
1954,670789397210615808,217,606
1955,670786190031921152,182,547
1956,670783437142401025,346,760
1957,670782429121134593,694,1406
1958,670780561024270336,262,726
1959,670778058496974848,65,306
1960,670764103623966721,387,995
1961,670755717859713024,95,401
1962,670733412878163972,463,882
1963,670727704916926465,324,762
1964,670717338665226240,434,1096
1965,670704688707301377,336,711
1966,670691627984359425,218,536
1967,670679630144274432,254,683
1968,670676092097810432,37,224
1969,670668383499735048,4490,9768
1970,670474236058800128,668,1381
1971,670468609693655041,80,328
1972,670465786746662913,492,890
1973,670452855871037440,183,504
1974,670449342516494336,583,1104
1975,670444955656130560,1793,6214
1976,670442337873600512,182,591
1977,670435821946826752,461,974
1978,670434127938719744,583,1298
1979,670433248821026816,103,302
1980,670428280563085312,553,1282
1981,670427002554466305,146,481
1982,670421925039075328,576,1193
1983,670420569653809152,279,562
1984,670417414769758208,295,518
1985,670411370698022913,810,1847
1986,670408998013820928,198,499
1987,670403879788544000,136,391
1988,670385711116361728,185,512
1989,670374371102445568,247,687
1990,670361874861563904,59,302
1991,670338931251150849,101,396
1992,670319130621435904,1104,3577
1993,670303360680108032,118,401
1994,670290420111441920,259,638
1995,670093938074779648,298,942
1996,670086499208155136,226,638
1997,670079681849372674,1099,2032
1998,670073503555706880,705,1425
1999,670069087419133954,214,567
2000,670061506722140161,300,685
2001,670055038660800512,292,610
2002,670046952931721218,159,592
